season,week,gameday,away_team,home_team,spread_home,total_line_close,home_moneyline_close,away_moneyline_close,p_market,home_win_prob_market,away_win_prob_market,home_win_prob_model,away_win_prob_model,home_win_prob_model_cal,away_win_prob_model_cal
2025,4,2025-09-28,WAS,ATL,1.5,43.5,-130.0,110.0,0.5485961085831343,0.5485961085831343,0.45140389141686565,0.011561549791942313,0.9884384502080577,0.0421455938697318,0.9578544061302682
2025,4,2025-09-28,NO,BUF,15.5,47.5,-1350.0,800.0,0.8823630078749228,0.8823630078749228,0.11763699212507717,0.9981999003303703,0.0018000996696296845,1.0,0.0
2025,4,2025-09-28,GB,DAL,-7.0,47.5,285.0,-360.0,0.2869998372477183,0.2869998372477183,0.7130001627522817,0.14380425228124313,0.8561957477187568,0.14204545454545456,0.8579545454545454
2025,4,2025-09-28,CLE,DET,10.0,44.5,-535.0,400.0,0.7858349830425586,0.7858349830425586,0.2141650169574414,0.9170609034195223,0.08293909658047771,0.9040767386091128,0.09592326139088725
2025,4,2025-09-28,TEN,HOU,7.0,39.5,-410.0,320.0,0.7130001627522816,0.7130001627522816,0.2869998372477184,0.886021196604822,0.11397880339517796,0.8996929375639714,0.1003070624360286
2025,4,2025-09-28,BAL,KC,-2.5,48.5,124.0,-148.0,0.41945769517934034,0.41945769517934034,0.5805423048206597,0.8300936453841626,0.16990635461583736,0.8555900621118012,0.14440993788819878
2025,4,2025-09-28,IND,LA,,,,,0.5,0.5,0.5,0.05948110748362749,0.9405188925163726,0.10989010989010989,0.8901098901098901
2025,4,2025-09-28,CHI,LV,1.5,47.5,-112.0,-108.0,0.5485961085831343,0.5485961085831343,0.45140389141686565,0.05579874398083305,0.9442012560191669,0.10989010989010989,0.8901098901098901
2025,4,2025-09-28,CAR,NE,5.5,42.5,-238.0,195.0,0.6715050342254059,0.6715050342254059,0.32849496577459414,0.07565111852865768,0.9243488814713423,0.12464985994397759,0.8753501400560224
2025,4,2025-09-28,LAC,NYG,-6.0,43.5,225.0,-278.0,0.31431988606174616,0.31431988606174616,0.6856801139382538,0.117018104311179,0.882981895688821,0.13221153846153846,0.8677884615384616
2025,4,2025-09-28,MIN,PIT,-2.5,40.5,120.0,-142.0,0.41945769517934034,0.41945769517934034,0.5805423048206597,0.0535393958068922,0.9464606041931078,0.10989010989010989,0.8901098901098901
2025,4,2025-09-28,JAX,SF,3.0,46.5,-166.0,140.0,0.5962826992967879,0.5962826992967879,0.4037173007032121,0.5504870288039193,0.4495129711960807,0.5440414507772021,0.4559585492227979
2025,4,2025-09-28,PHI,TB,-3.5,44.5,164.0,-198.0,0.3881726309982629,0.3881726309982629,0.6118273690017371,0.3239329338186236,0.6760670661813764,0.26156299840510366,0.7384370015948963
2025,4,2025-09-29,CIN,DEN,,,,,0.5,0.5,0.5,0.9755530343131292,0.02444696568687077,0.9568965517241379,0.0431034482758621
